Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Sex and Rage,Eve Babitz,"",9781619029354,paperback,to-read,2025/01/14,"","",0,"",,,,,,,,,"",,"",No
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"",9780805092998,hardcover,to-read,2024/06/17,"","",0,"",,,,,,,,,"",,"",No
Heartwood,Amity Gaige,"",9781668063606,hardcover,to-read,2026/01/09,"","",0,"",,,,,,,,,"",,"",No
Self-Portrait with Boy,Rachel Lyon,"",9781501169588,hardcover,to-read,2026/03/26,"","",0,"",,,,,,,,,"",,"",No
The Astonishing Color of After,Emily X.R. Pan,"",9780316463997,hardcover,to-read,2024/08/30,"","",0,"",,,,,,,,,"",,"",No
Among Friends,Hal Ebbott,"",9780593854198,hardcover,to-read,2026/02/01,"","",0,"",,,,,,,,,"",,botm,Yes
On Bullshit,Harry G. Frankfurt,"",9780691122946,hardcover,to-read,2024/12/24,"","",0,"",,,,,,,,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2026/01/07,"","",1,"",,"","","","","",5.0,"","","","",No
Ice,Anna Kavan,"",9780720612684,paperback,to-read,2026/03/06,"","",0,"",,,,,,,,,"",,"",No
Parable of the Sower,Octavia E. Butler,"",9780446675505,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Shutter Island,Dennis Lehane,"",9780380731862,paperback,to-read,2025/11/21,"","",0,"",,,,,,,,,"",,"",No
Please Report Your Bug Here,Josh Riedel,"",9781250813794,hardcover,to-read,2023/11/13,"","",0,"",,,,,,,,,"",,"",No
Fahrenheit 451,Ray Bradbury,"",9781451673319,paperback,to-read,2023/12/23,"","",0,"",,,,,,,,,"",,"",No
40 Rules of Love,Elif Shafak,"","",,to-read,2024/01/17,"","",0,"",,,,,,,,,"",,"",No
Martyr!,Kaveh Akbar,"",9781035026074,paperback,read,2026/01/29,2026/02/07,2026/01/29-2026/02/07,1,"",,"","","","","",4.75,,"","","",Yes
The Poppy War,R.F. Kuang,"",9780062662590,digital,to-read,2026/01/06,"","",0,"",,,,,,,,,"",,"",No
Happy Place,Emily Henry,"",9780593441275,hardcover,to-read,2024/10/11,"","",0,"",,,,,,,,,"",,"",No
All Systems Red,Martha Wells,"",9780765397522,digital,read,2026/02/07,2026/02/25,2026/02/15-2026/02/25,1,"adventurous, funny",,"","","","","",3.5,"<div>I liked that we started with action but I found the middle third kinda boring. I did like how it ended tho, felt like a nice completion even if it is part 1 of a series.<br><br>Also the murderbot grew on me a little bit, I was v sus at first and didn't find the character v congruous but ig it just took me a little longer to suspend belief.</div>","","",book-club-read,No
Ahalya,Koral Dasgupta,"",9389109663,paperback,did-not-finish,2026/01/04,"","",0,"",,,,,,,,,"",,"",No
The Butterfly Lion,Michael Morpurgo,"",9780670874613,hardcover,to-read,2022/09/21,"","",0,"",,,,,,,,,"",,"",No
Any Person Is the Only Self: Essays,Elisa Gabbert,"",9780374605896,paperback,to-read,2026/02/11,"","",0,"",,,,,,,,,"",,"",No
Someone Who Will Love You in All Your Damaged Glory: Stories,Raphael Bob-Waksberg,"Raul Esparza (Narrator), Emma Galvin (Narrator), Kimiko Glenn (Narrator), Will Brill (Narrator), Stephanie Beatriz (Narrator), Nicholas Gonzalez (Narrator), Colman Domingo (Narrator), James Urbaniak (Narrator), Baron Vaughn (Narrator), Natalie Morales (Narrator)",9781984891891,audio,read,2025/07/09,2025/07/11,2025/07/09-2025/07/11,1,"",,"","","","","",5.0,,"","","",No
Orbital,Samantha Harvey,"",9780802161543,hardcover,to-read,2026/02/23,"","",0,"",,,,,,,,,"",,"",No
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"",9780307907035,digital,to-read,2023/08/07,"","",0,"",,,,,,,,,"",,"",No
The Guest Cat,Takashi Hiraide,Eric Selland (Translator),9780811221504,paperback,read,2024/10/07,2024/10/08,2024/10/07-2024/10/08,1,"emotional, funny, reflective, sad",medium,A mix,No,Yes,No,"",5.0,"<div>I loved this book, it was so hygge and cute and sad and wholesome and now I miss my cat 😢</div>","","","",Yes
The Cook of Castamar,Fernando J. Múñez,"",9781803285603,hardcover,to-read,2026/03/13,"","",0,"",,,,,,,,,"",,"",No
Lightbreakers,Aja Gabel,"",9780593329702,hardcover,to-read,2026/02/01,"","",0,"",,,,,,,,,"",,botm,No
Broken Country,Clare Leslie Hall,"",9781668078181,hardcover,to-read,2026/02/11,"","",0,"",,,,,,,,,"",,"",No
The Employees: A Workplace Novel of the 22nd Century,Olga Ravn,Martin Aitken (Translator),9781999992880,paperback,to-read,2026/03/11,"","",0,"",,,,,,,,,"",,"",No
Conversations on Love,Natasha Lunn,"",9780241448731,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Nose,Nikolai Gogol,Ronald Wilks (Translator),9780141397528,paperback,read,2026/01/10,2026/01/20,2026/01/20-2026/01/20,1,"",,"","","","","",4.0,<div>really funny</div>,"","","",No
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,"",9780684853949,paperback,to-read,2024/06/15,"","",0,"",,,,,,,,,"",,"",No
Good Intentions,Kasim Ali,"",9780008450656,hardcover,read,2022/09/21,2022/10/07,2022/10/06-2022/10/07,1,"",,"","","","","",4.75,"","","","",No
Deep Cuts,Holly Brickley,"",9780593799086,hardcover,to-read,2025/05/14,"","",0,"",,,,,,,,,"",,"",No
Betty,Tiffany McDaniel,"",9780525657088,digital,read,2026/02/15,2026/02/27,2026/02/15-2026/02/27,1,"",,"","","","","",5.0,"<div>Landon Carpenter is the little bird that lives inside my heart made of glass.&nbsp;<br><br>This book absolutely broke me and I cried like 6 times, it was so beautiful and I'm still processing it so will edit this review later.</div>","","","",No
Rosemary's Baby,Ira Levin,"",9781605981109,paperback,read,2025/11/28,2025/11/28,2025/11/27-2025/11/28,1,"dark, mysterious",fast,"","","","","",4.75,"","","",book-club-read,No
In Cold Blood,Truman Capote,"",9780679745587,paperback,to-read,2026/03/04,"","",0,"",,,,,,,,,"",,"",No
Severance,Ling Ma,"",9780374261597,hardcover,to-read,2026/03/20,"","",0,"",,,,,,,,,"",,"",No
Your Brain's Not Broken: Strategies for Navigating Your Emotions and Life with ADHD,Tamara Rosier,"",9780800739423,paperback,to-read,2023/08/20,"","",0,"",,,,,,,,,"",,"",No
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,Andrew Postman (Contributor),9780143036531,paperback,to-read,2026/01/20,"","",0,"",,,,,,,,,"",,"",No
The Bluest Eye,Toni Morrison,"",9780452287068,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The List of Suspicious Things,Jennie Godfrey,"",9781529153293,hardcover,to-read,2026/01/12,"","",0,"",,,,,,,,,"",,"",No
We Are All Birds of Uganda,Hafsa Zayyan,"",9781529118643,hardcover,to-read,2023/10/26,"","",0,"",,,,,,,,,"",,"",No
1984,George Orwell,"",9780452262935,paperback,to-read,2024/08/06,"","",0,"",,,,,,,,,"",,"",No
"Hi, Anxiety: Life with a Bad Case of Nerves",Kat Kinsman,"",9780062369680,hardcover,to-read,2024/10/11,"","",0,"",,,,,,,,,"",,"",Yes
The Silence In Between,Josie Ferguson,"",0857529692,hardcover,to-read,2025/01/14,"","",0,"",,,,,,,,,"",,"",No
Good Material,Dolly Alderton,"Arthur Darvill (Narrator), Vanessa Kirby (Narrator)",9780241994849,audio,read,2026/02/04,2026/02/07,2026/02/04-2026/02/07,1,"",,"","","","","",2.75,"<div>The first 80% of the book was kinda meh, I really wasn't that interested in Andy's whiny thoughts. Hes just like this average stand up guy stumbling through life. Maybe it would be a better read for someone going through a breakup. The last part where we hear Jen's perspective was better and a little redeeming. It wasn't hugely revolutionary just like the rest of the book but it was at least a bit satisfying? To hear her side of the story I guess? I think this is a book for millennials still single in their 30s and to help reassure them that it's okay to be.</div>","","","",No
Flowers for Algernon,Daniel Keyes,"",9781474605731,paperback,read,2026/04/02,2026/04/07,2026/03/31-2026/04/07,1,"",,"","","","","",5.0,"","","","",Yes
Turtles All the Way Down,John Green,"",9780525555360,hardcover,read,2022/09/19,2021,2021,1,"",,,,,,,,,"",,"",No
What We Fed to the Manticore,Talia Lakshmi Kolluri,"",9781953534415,paperback,read,2024/08/13,2024/08/31,2024/08/28-2024/08/31,1,"",,,,,,,,,"",,"",No
Breasts and Eggs,Mieko Kawakami,"David Boyd (Translator), Sam Bett (Translator)",9781609455873,hardcover,to-read,2023/10/15,"","",0,"",,,,,,,,,"",,"",No
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,"",9780857197689,paperback,did-not-finish,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Starfall,Brenda Hiatt,"",,digital,read,2022/09/30,2023/12/28,2023/12/21-2023/12/28,2,"",,,,,,,,,"",,"",No
Cursed Daughters,Oyinkan Braithwaite,"",9780385551472,hardcover,to-read,2026/02/01,"","",0,"",,,,,,,,,"",,botm,No
I Capture the Castle,Dodie Smith,"",9780312181109,hardcover,to-read,2024/10/15,"","",0,"",,,,,,,,,"",,"",No
Intermezzo,Sally Rooney,"",9780571365463,hardcover,to-read,2024/12/06,"","",0,"",,,,,,,,,"",,"",No
Dune,Frank Herbert,"",9780593099322,hardcover,to-read,2026/01/07,"","",0,"",,,,,,,,,"",,"",No
The Director,Daniel Kehlmann,Ross Benjamin (Translator),9781529435122,paperback,to-read,2026/03/01,"","",0,"",,,,,,,,,"",,2026-booker-longlist,No
Tuesdays with Morrie,Mitch Albom,"",9780751529814,paperback,to-read,2026/01/08,"","",0,"",,,,,,,,,"",,"",No
My Year Abroad,Chang-rae Lee,"",9780593396025,paperback,to-read,2024/06/17,"","",0,"",,,,,,,,,"",,"",No
I Who Have Never Known Men,Jacqueline Harpman,"Ros Schwartz (Translator), Sophie Mackintosh (Contributor)",9781529111798,paperback,read,2024/06/05,"","",1,"",,,,,,,,,"",,"",No
A Suitable Boy,Vikram Seth,"Ayesha Dharker (Narrator), Full Cast (Narrator), Mahabanoo Mody-Kotwal (Narrator)","",audio,read,2025/08/20,2025/08/22,2025/08/20-2025/08/22,1,"",,"","","","","",5.0,"","","","",No
Rest: Why You Get More Done When You Work Less,Alex Soojung-Kim Pang,"",9781549113840,audio,read,2025/01/14,2025/02/22,2025/01/14-2025/02/22,1,"",,,,,,,,,"",,"",No
Foster,Claire Keegan,"","",paperback,to-read,2025/11/15,"","",0,"",,,,,,,,,"",,"",No
Expectation,Anna Hope,"",9780857524904,hardcover,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
Tea with Elephants,Robin Jones Gunn,"",9780800744823,paperback,to-read,2024/10/11,"","",0,"",,,,,,,,,"",,"",No
Assembly,Natasha Brown,"",9780241515709,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,"",9780374214913,hardcover,read,2022/09/26,2022/09/29,2022/09/25-2022/09/29,1,"",,"","","","","",3.0,"","","","",No
What You Are Looking For is in the Library,Michiko Aoyama,Alison Watts (Translator),9780857529121,hardcover,to-read,2023/10/17,"","",0,"",,,,,,,,,"",,"",No
